student_id,logins_per_week,videos_watched,time_spent_on_platform,avg_quiz_score
1,8,17,6,80
2,7,17,5,53
3,7,7,11,57
4,4,11,3,84
5,4,30,16,91
6,2,18,19,76
7,7,18,13,84
8,9,6,2,99
9,9,6,20,58
10,3,0,6,68
11,10,30,4,54
12,10,16,8,88
13,2,20,1,93
14,8,20,18,77
15,8,4,12,96
16,2,16,15,65
17,7,14,16,52
18,6,29,20,85
19,9,27,20,90
20,1,25,6,93
21,5,23,7,69
22,1,23,11,83
23,2,3,1,68
24,3,8,14,61
25,9,24,13,63
26,7,5,12,70
27,3,0,2,95
28,8,3,14,75
29,8,0,8,97
30,7,23,18,99
31,3,24,15,64
32,4,18,15,61
33,9,12,9,76
34,8,2,9,77
35,3,20,3,91
36,9,24,8,60
37,7,30,1,99
38,9,25,7,88
39,1,1,6,59
40,10,0,12,80
41,10,28,10,70
42,6,28,11,76
43,4,26,8,75
44,3,29,20,66
45,2,12,6,51
46,7,11,19,98
47,3,1,4,82
48,2,19,14,82
49,2,0,10,98
50,3,14,3,58
51,8,22,16,86
52,2,30,18,50
53,8,13,20,55
54,10,24,5,98
55,3,14,1,87
56,5,19,2,91
57,4,15,7,68
58,5,4,13,79
59,8,5,6,75
60,1,10,19,96
61,7,11,9,77
62,7,30,9,98
63,9,18,19,91
64,10,11,9,56
65,3,3,16,100
66,1,22,9,76
67,1,8,2,70
68,2,23,13,77
69,2,26,1,83
70,2,23,20,53
71,6,22,12,55
72,9,21,7,52
73,4,22,8,59
74,7,2,5,50
75,10,1,7,63
76,3,10,12,76
77,1,12,9,97
78,1,20,16,88
79,4,21,19,76
80,3,22,9,98
81,9,20,10,92
82,2,5,7,55
83,6,12,11,75
84,4,19,20,96
85,5,17,10,91
86,8,22,3,85
87,4,14,7,64
88,2,19,1,73
89,3,1,3,51
90,10,9,11,74
91,10,29,16,60
92,4,3,13,55
93,6,7,12,66
94,9,6,10,54
95,4,8,13,73
96,1,1,10,70
97,5,12,3,63
98,5,0,2,59
99,4,23,17,54
100,9,21,2,73
101,2,22,2,54
102,4,11,2,59
103,5,3,5,56
104,5,30,1,77
105,4,4,11,90
106,6,22,19,72
107,4,8,17,91
108,7,7,19,60
109,7,24,14,62
110,1,9,13,74
111,2,17,10,90
112,6,18,15,96
113,6,24,3,89
114,8,10,17,79
115,4,26,4,74
116,6,17,11,100
117,1,13,20,86
118,9,2,8,66
119,7,30,3,53
120,3,24,3,55
121,8,4,5,79
122,4,17,9,70
123,5,15,12,70
124,6,9,10,62
125,6,25,15,94
126,10,7,17,62
127,6,8,6,84
128,5,16,5,89
129,2,22,15,90
130,8,1,11,55
131,3,3,12,55
132,4,13,2,61
133,4,16,10,55
134,8,12,18,68
135,10,17,10,53
136,6,18,13,61
137,6,8,19,63
138,5,23,12,56
139,3,29,11,80
140,6,10,15,77
141,4,22,13,53
142,1,14,8,77
143,5,9,15,56
144,9,26,4,62
145,7,14,1,86
146,9,8,3,68
147,8,7,6,81
148,5,7,12,73
149,8,0,13,97
150,3,22,5,59
151,7,6,7,62
152,10,1,2,87
153,5,29,4,96
154,10,28,7,91
155,7,26,3,61
156,1,13,19,74
157,1,15,11,52
158,9,6,14,87
159,2,17,11,64
160,1,25,18,60
161,10,10,10,50
162,5,23,13,65
163,9,9,7,88
164,6,18,1,55
165,5,3,9,72
166,6,25,11,68
167,2,5,13,69
168,1,0,15,73
169,1,13,5,60
170,10,6,2,92
171,7,19,13,61
172,6,5,11,55
173,3,4,5,69
174,4,24,4,96
175,9,6,18,89
176,9,16,1,99
177,1,4,2,79
178,6,4,17,66
179,10,13,5,95
180,8,16,15,74
181,6,13,10,50
182,9,22,15,90
183,4,3,15,82
184,4,26,12,53
185,2,15,6,100
186,1,0,18,83
187,6,24,7,83
188,7,2,18,97
189,8,16,17,60
190,1,11,10,76
191,9,3,4,89
192,4,0,16,99
193,5,5,7,89
194,6,1,6,69
195,6,2,9,61
196,6,5,9,95
197,8,0,10,66
198,5,23,19,92
199,3,17,3,72
200,3,15,1,79
201,3,23,10,80
202,9,13,8,87
203,6,23,3,52
204,5,13,6,50
205,5,12,15,92
206,8,1,13,60
207,5,23,15,95
208,7,7,20,51
209,10,22,6,68
210,6,3,9,100
211,3,29,20,58
212,2,9,5,65
213,8,29,5,72
214,8,9,19,66
215,9,16,5,68
216,1,11,16,70
217,8,4,13,62
218,7,12,10,51
219,3,30,4,55
220,6,24,19,57
221,4,2,11,79
222,5,24,14,63
223,1,24,2,75
224,10,21,18,98
225,5,1,8,80
226,9,14,2,57
227,7,22,16,84
228,4,7,9,97
229,3,28,15,81
230,6,15,15,53
231,2,6,16,69
232,1,13,16,55
233,10,9,13,98
234,9,2,15,96
235,7,20,18,65
236,6,28,1,100
237,4,12,4,59
238,7,5,3,99
239,2,9,8,93
240,2,13,9,79
241,1,28,15,70
242,5,7,7,98
243,1,7,10,50
244,10,3,1,67
245,3,9,20,92
246,3,7,19,66
247,3,20,3,54
248,2,17,2,100
249,1,13,19,67
250,1,19,9,95
251,5,11,12,90
252,4,24,20,61
253,8,1,16,94
254,6,14,14,63
255,7,23,8,96
256,1,0,11,55
257,7,24,11,93
258,10,26,19,58
259,9,2,5,73
260,6,7,17,56
261,8,0,16,50
262,1,22,2,74
263,5,17,10,63
264,8,2,2,77
265,10,25,16,77
266,4,9,12,91
267,8,5,7,65
268,4,22,14,100
269,8,27,10,94
270,6,21,14,82
271,6,6,14,56
272,9,28,20,75
273,6,24,12,88
274,10,7,20,87
275,3,19,16,51
276,10,17,20,80
277,2,6,18,61
278,4,19,14,79
279,10,30,1,89
280,9,9,1,88
281,1,7,15,94
282,8,22,1,88
283,8,6,2,81
284,8,28,3,71
285,9,12,2,54
286,1,1,19,89
287,2,10,4,92
288,9,2,6,53
289,7,5,19,98
290,5,23,20,92
291,6,19,13,99
292,7,9,18,53
293,3,9,14,66
294,3,26,9,99
295,6,12,11,95
296,10,14,13,99
297,3,15,5,100
298,6,19,9,73
299,6,22,13,56
300,2,10,20,65
301,5,10,9,95
302,2,16,17,50
303,3,10,3,70
304,4,12,4,70
305,9,11,14,59
306,3,30,9,89
307,7,8,13,71
308,2,10,7,93
309,6,11,20,70
310,9,27,10,72
311,10,5,9,72
312,9,12,17,61
313,9,15,4,72
314,5,27,20,73
315,9,15,19,60
316,10,12,17,83
317,9,15,9,69
318,10,15,1,72
319,10,23,13,72
320,5,13,10,96
321,5,10,17,97
322,7,27,15,72
323,3,8,3,78
324,5,13,9,66
325,6,15,5,52
326,1,25,9,66
327,10,3,18,72
328,6,2,15,74
329,5,23,14,56
330,8,14,3,65
331,6,21,4,75
332,5,9,20,97
333,4,24,6,73
334,5,8,6,63
335,9,19,9,52
336,4,22,10,72
337,2,8,11,57
