student_id,courses_completed,courses_started,avg_score_across_courses
1,2,3,75
2,9,10,100
3,5,7,64
4,3,3,87
5,5,7,67
6,3,5,70
7,6,10,84
8,2,8,79
9,6,8,89
10,4,4,58
11,4,10,95
12,7,8,72
13,0,2,54
14,1,1,66
15,3,4,51
16,6,9,61
17,1,2,99
18,5,5,70
19,0,1,76
20,1,7,69
21,6,10,68
22,9,9,93
23,0,1,95
24,2,4,69
25,3,6,59
26,2,6,84
27,1,1,68
28,2,4,89
29,1,10,67
30,4,7,96
31,3,9,62
32,4,4,76
33,1,2,88
34,1,1,61
35,5,10,78
36,2,8,99
37,2,5,77
38,3,5,76
39,2,3,92
40,3,7,56
41,2,4,93
42,0,4,93
43,0,10,55
44,3,4,74
45,2,3,81
46,5,5,64
47,0,1,56
48,8,9,64
49,1,2,90
50,2,9,85
51,2,7,72
52,1,10,76
53,3,3,82
54,1,1,64
55,2,4,69
56,9,9,67
57,1,1,75
58,5,9,81
59,0,4,76
60,0,1,99
61,0,5,73
62,3,4,98
63,6,6,99
64,3,9,92
65,0,5,67
66,1,1,76
67,8,10,73
68,0,5,53
69,5,7,69
70,1,2,83
71,0,5,60
72,1,7,57
73,0,1,84
74,1,2,78
75,2,8,90
76,4,5,62
77,1,2,59
78,0,1,61
79,5,5,84
80,3,5,90
81,5,5,61
82,0,2,78
83,1,1,87
84,0,8,93
85,2,7,55
86,2,3,84
87,3,8,50
88,4,4,89
89,1,2,50
90,1,3,97
91,0,2,65
92,1,1,64
93,1,1,83
94,3,6,80
95,9,9,59
96,2,3,72
97,2,3,54
98,6,6,72
99,1,2,69
100,3,4,87
101,8,8,96
102,4,5,63
103,2,2,73
104,3,9,83
105,3,8,83
106,1,1,95
107,2,9,80
108,1,1,99
109,5,10,90
110,1,10,56
111,6,6,82
112,1,2,59
113,6,8,60
114,2,7,63
115,2,3,70
116,1,1,57
117,5,9,83
118,7,8,79
119,0,4,73
120,3,6,68
121,5,6,95
122,1,3,73
123,3,3,68
124,3,6,77
125,1,4,81
126,0,6,65
127,6,8,88
128,2,3,58
129,1,2,51
130,6,8,71
131,9,9,83
132,4,4,68
133,10,10,54
134,4,7,63
135,7,10,87
136,1,3,54
137,6,9,71
138,6,9,68
139,4,4,65
140,8,8,52
141,1,2,73
142,0,7,98
143,0,3,93
144,4,10,51
145,2,2,99
146,1,6,92
147,4,9,62
148,1,4,88
149,0,7,56
150,0,3,70
151,2,4,93
152,2,3,80
153,0,1,91
154,0,5,55
155,0,10,73
156,1,3,88
157,4,5,78
158,3,10,61
159,3,5,52
160,1,2,63
161,1,8,52
162,2,6,87
163,1,2,56
164,2,4,73
165,4,4,77
166,1,7,88
167,3,4,80
168,5,8,79
169,1,8,94
170,0,8,84
171,0,4,86
172,1,6,78
173,0,4,61
174,1,5,82
175,1,6,90
176,3,4,68
177,5,6,75
178,6,8,57
179,1,9,98
180,4,7,60
181,1,2,51
182,0,5,87
183,1,6,62
184,7,7,56
185,7,7,84
186,2,9,82
187,2,2,73
188,7,9,70
189,7,9,88
190,8,8,66
191,1,1,76
192,2,8,85
193,6,6,84
194,3,8,61
195,0,3,85
196,0,10,78
197,3,10,97
198,4,8,69
199,8,9,71
200,0,3,91
201,4,9,71
202,3,7,71
203,1,6,92
204,1,3,59
205,9,10,78
206,6,8,78
207,1,10,60
208,7,10,58
209,2,3,66
210,4,7,62
211,2,6,69
212,2,6,70
213,8,9,95
214,4,10,60
215,9,10,53
216,1,7,60
217,6,6,98
218,0,1,68
219,4,4,53
220,5,8,52
221,9,9,95
222,4,5,97
223,1,3,89
224,0,1,84
225,0,3,69
226,4,6,98
227,1,6,75
228,3,8,78
229,2,5,56
230,0,4,82
231,1,5,97
232,1,3,50
233,5,10,74
234,0,4,61
235,7,8,76
236,1,7,50
237,3,5,91
238,1,1,52
239,0,7,61
240,7,9,64
241,4,8,90
242,2,2,98
243,7,10,84
244,1,5,99
245,0,3,53
246,0,1,72
247,0,3,82
248,6,10,61
249,5,8,95
250,2,6,58
251,0,2,100
252,1,2,100
253,2,6,98
254,1,4,54
255,2,9,96
256,4,4,53
257,6,8,57
258,0,5,90
259,3,3,71
260,3,10,64
261,2,2,88
262,4,4,93
263,0,2,88
264,4,4,56
265,1,9,89
266,0,2,70
267,1,6,93
268,1,3,57
269,0,7,68
270,1,5,81
271,1,4,51
272,0,3,79
273,1,3,76
274,0,2,82
275,1,6,87
276,1,2,87
277,3,8,92
278,3,8,56
279,0,10,84
280,5,7,99
281,3,4,85
282,2,3,74
283,1,1,87
284,8,8,74
285,3,3,87
286,0,2,85
287,1,1,54
288,0,4,57
289,2,3,100
290,0,5,66
291,3,10,50
292,9,10,66
293,0,8,52
294,1,1,79
295,1,4,64
296,3,6,71
297,0,7,83
298,6,7,93
299,3,10,93
300,0,3,69
301,5,7,100
302,9,9,84
303,2,8,81
304,0,1,68
305,6,6,56
306,0,10,89
307,3,4,91
308,0,1,60
309,4,7,63
310,0,1,68
311,4,5,86
312,0,7,65
313,2,3,82
314,0,4,98
315,3,3,92
316,9,9,92
317,1,5,95
318,5,6,52
319,1,5,69
320,1,7,55
321,2,6,57
322,1,1,68
323,7,9,98
324,1,4,96
325,2,3,95
326,6,7,75
327,6,10,78
328,1,9,82
329,3,5,69
330,1,4,50
331,2,2,80
332,7,8,57
333,4,5,74
334,3,4,81
335,4,10,59
336,6,6,52
337,7,7,98
338,4,9,95
339,4,6,96
340,3,10,68
341,4,5,70
342,1,8,72
343,0,3,98
344,1,5,78
345,2,4,86
346,6,9,100
347,4,8,76
348,0,3,75
349,2,6,73
350,0,2,52
351,1,8,85
352,2,4,67
353,4,4,51
354,4,5,57
355,0,1,98
356,4,5,99
357,3,7,78
358,2,6,60
359,8,8,80
360,2,5,86
361,5,9,92
362,3,7,77
363,7,7,73
364,2,6,77
365,0,1,64
366,5,5,72
367,9,9,78
368,1,8,91
369,8,10,92
370,0,3,79
371,1,4,65
372,6,8,53
373,9,9,97
374,4,4,93
375,2,3,76
376,0,1,94
377,1,1,89
378,4,4,98
379,3,7,77
380,5,6,54
381,4,7,59
382,8,9,88
383,6,8,96
384,5,8,84
385,4,5,88
386,3,6,62
387,1,5,52
388,3,10,98
389,2,7,98
390,1,10,87
391,1,1,79
392,1,7,77
393,7,7,88
394,1,6,94
395,4,7,84
396,3,9,63
397,1,2,71
398,6,7,87
399,6,6,58
400,5,7,55
401,6,8,91
402,2,2,72
403,6,8,55
404,4,7,100
405,1,3,53
406,3,4,98
407,1,8,64
408,2,5,68
409,1,3,89
410,8,9,69
411,1,8,82
412,2,2,80
413,8,8,58
414,7,8,93
415,5,9,71
416,0,1,82
417,0,4,61
418,1,2,96
419,6,6,53
420,5,6,90
421,1,7,83
422,3,5,69
423,3,6,81
424,0,5,96
425,0,1,93
426,0,1,73
427,2,5,77
428,5,5,97
429,4,5,80
430,2,6,50
431,3,8,74
432,6,6,54
433,6,8,93
434,3,10,93
435,9,10,74
436,1,1,50
437,2,6,94
438,2,5,88
439,3,4,95
440,0,2,78
441,6,7,70
442,6,6,99
443,0,4,74
444,6,10,96
445,5,8,89
446,0,3,98
447,4,4,97
448,4,9,59
449,3,7,56
450,5,6,87
451,0,7,96
452,2,4,85
453,0,1,84
454,3,6,57
455,9,9,76
456,1,2,72
457,1,8,86
458,0,3,80
459,3,3,72
460,6,7,79
461,2,4,54
462,0,8,57
463,2,2,78
464,5,5,71
465,2,10,81
466,2,2,78
467,8,10,89
468,2,2,61
469,0,2,65
470,0,4,66
471,3,3,50
472,2,6,77
473,1,8,63
474,1,1,97
475,6,10,52
476,2,4,69
477,2,2,54
478,0,5,73
479,7,7,85
480,2,5,84
481,2,6,73
482,0,1,75
483,3,5,50
484,0,1,87
485,7,8,69
486,8,8,88
487,0,5,95
488,2,5,56
489,1,2,57
490,8,8,51
491,0,1,59
492,2,2,72
493,1,9,71
494,2,10,71
495,0,1,69
496,5,10,55
497,7,7,65
498,3,5,77
499,2,9,58
500,6,7,75
501,8,10,71
502,4,4,100
503,4,4,94
504,4,6,57
505,3,5,54
506,2,3,83
507,4,5,78
508,0,3,65
509,0,9,57
510,0,2,50
511,4,5,95
512,2,3,55
513,0,1,97
514,0,5,74
515,1,6,87
516,1,5,65
517,3,10,97
518,2,5,80
519,2,3,77
520,7,7,71
521,0,1,98
522,2,7,66
523,1,2,74
524,0,3,70
525,0,3,50
526,1,7,90
527,1,1,70
528,0,1,85
529,2,8,61
530,1,2,69
531,0,2,77
532,0,7,90
533,0,1,78
534,5,6,54
535,2,2,52
536,4,5,55
537,2,2,53
538,1,6,87
539,0,2,93
540,2,5,66
541,0,5,69
542,3,9,82
543,9,10,99
544,0,4,71
545,0,9,74
546,6,7,77
547,2,2,53
548,0,1,68
549,1,8,69
550,3,6,72
551,4,6,61
552,4,10,57
553,3,10,54
554,5,7,50
555,1,2,93
556,0,7,56
557,2,6,81
558,6,9,59
559,1,3,77
560,0,3,74
561,7,8,64
562,1,3,64
563,4,8,71
564,6,8,60
565,7,8,81
566,2,5,70
567,1,1,71
568,1,9,64
569,5,9,85
570,3,5,96
571,0,2,53
572,0,7,57
573,3,5,56
574,0,5,94
575,2,7,61
576,1,2,50
577,3,5,58
578,5,5,61
579,6,8,55
580,2,10,54
581,0,3,74
582,0,1,62
583,5,6,86
584,1,3,63
585,6,6,78
586,4,4,55
587,3,6,67
588,4,4,92
589,1,3,69
590,4,4,87
591,1,5,98
592,3,5,93
593,0,6,91
594,4,4,74
595,7,10,68
596,6,8,69
597,1,6,68
598,4,7,89
599,6,6,88
600,4,8,96
601,0,7,69
602,3,9,77
603,4,6,63
604,1,2,62
605,2,10,99
606,1,3,86
607,0,5,54
608,2,10,53
609,0,1,79
610,0,2,62
611,0,6,100
612,8,8,81
613,1,6,87
614,3,4,52
615,4,4,77
616,0,1,97
617,0,6,54
618,1,9,89
619,1,1,66
620,6,8,91
621,0,8,58
622,0,5,94
623,3,6,76
624,7,7,76
625,1,1,71
626,2,10,82
627,2,10,86
628,4,6,51
629,2,8,56
630,5,9,54
631,7,7,78
632,1,3,52
633,6,9,64
634,6,6,86
635,2,5,95
636,1,6,100
637,3,3,98
638,4,9,89
639,1,1,63
640,1,1,69
641,3,7,54
642,7,9,97
643,3,8,74
644,4,10,97
645,0,3,71
646,2,4,88
647,2,4,81
648,6,8,83
649,0,9,88
650,0,2,95
651,5,9,56
652,1,3,82
653,3,6,80
654,0,8,79
655,1,9,65
656,7,10,92
657,0,1,94
658,0,1,94
659,6,9,91
660,5,6,64
661,0,6,81
662,0,1,79
663,6,10,100
664,3,7,65
665,5,5,72
666,6,8,54
667,5,10,93
668,9,9,58
669,2,3,50
670,1,8,57
671,0,4,73
672,0,2,55
673,8,10,69
674,2,2,55
675,4,7,72
676,4,4,61
677,2,2,95
678,0,1,78
679,0,1,87
680,3,7,57
681,3,10,91
682,9,10,75
683,0,5,75
684,4,4,72
685,7,9,78
686,9,9,74
687,0,7,77
688,2,9,73
689,2,9,84
690,1,3,53
691,5,5,90
692,6,9,58
693,8,10,97
694,0,1,64
695,0,9,95
696,8,8,100
697,1,6,59
698,3,5,78
699,1,1,65
700,4,10,67
701,2,6,86
702,3,4,90
703,5,7,55
704,1,4,77
705,1,6,77
706,0,1,98
707,3,6,64
708,6,8,54
709,0,3,69
710,5,7,57
711,2,5,67
712,0,4,91
713,5,7,73
714,6,8,91
715,1,7,55
716,2,3,73
717,0,4,100
718,0,8,74
719,5,10,77
720,1,5,77
721,1,8,53
722,4,5,81
723,2,2,99
724,1,8,83
725,6,10,57
726,7,7,52
727,1,3,94
728,1,1,95
729,7,8,78
730,2,5,50
731,2,2,78
732,7,10,85
733,2,2,57
734,1,1,58
735,2,7,68
736,4,4,57
737,2,8,92
738,4,5,52
739,1,2,100
740,5,5,66
741,0,7,74
742,7,8,74
743,9,9,76
744,1,4,83
745,2,3,78
746,4,5,83
747,1,1,97
748,2,6,93
749,3,8,64
750,2,8,65
751,3,8,94
752,2,2,63
753,4,5,83
754,0,2,73
755,5,7,84
756,0,1,96
757,4,5,97
758,5,5,53
759,5,8,58
760,3,4,89
761,2,9,100
762,8,8,98
763,0,1,97
764,7,9,98
765,2,4,92
766,1,5,100
767,5,9,92
768,6,6,65
769,0,7,72
770,9,10,99
771,3,5,92
772,5,9,93
773,1,7,84
774,1,4,99
775,0,1,50
776,1,1,71
777,4,4,99
778,0,1,88
779,2,3,81
780,0,3,82
781,3,10,71
782,1,9,100
