student_id,age,gender,major,year,region
1,22,Female,Electrical Engineering,1,Gujarat
2,24,Male,Civil Engineering,3,Kerala
3,18,Male,Environmental Science,1,Kerala
4,20,Female,Biology,1,Madhya Pradesh
5,18,Male,Mechanical Engineering,2,Gujarat
6,18,Female,Civil Engineering,3,Maharashtra
7,18,Male,Chemistry,2,West Bengal
8,23,Female,Biology,4,Madhya Pradesh
9,22,Male,Mathematics,2,Tamil Nadu
10,21,Male,Chemistry,2,West Bengal
11,21,Male,Economics,2,Madhya Pradesh
12,23,Male,Computer Science,3,Rajasthan
13,24,Female,Civil Engineering,4,Gujarat
14,18,Female,Computer Science,3,Madhya Pradesh
15,18,Female,Physics,2,Madhya Pradesh
16,21,Female,Computer Science,1,Maharashtra
17,18,Male,Computer Science,2,West Bengal
18,24,Female,Computer Science,2,Karnataka
19,24,Male,Chemistry,4,Gujarat
20,21,Male,Chemistry,1,Uttar Pradesh
21,21,Female,Biology,2,Kerala
22,23,Male,Civil Engineering,1,Gujarat
23,18,Female,Environmental Science,4,Maharashtra
24,21,Female,Biology,3,Rajasthan
25,18,Male,Biology,3,Tamil Nadu
26,22,Male,Biology,2,Maharashtra
27,22,Female,Physics,3,Rajasthan
28,20,Male,Environmental Science,1,West Bengal
29,23,Male,Economics,3,Delhi
30,20,Female,Physics,2,Karnataka
31,19,Female,Mechanical Engineering,4,Maharashtra
32,24,Female,Physics,4,Delhi
33,21,Male,Civil Engineering,1,Tamil Nadu
34,18,Female,Physics,3,Rajasthan
35,24,Male,Mathematics,3,Rajasthan
36,23,Male,Mechanical Engineering,3,Uttar Pradesh
37,23,Male,Civil Engineering,1,Kerala
38,24,Male,Mechanical Engineering,2,Uttar Pradesh
39,23,Female,Biology,1,Delhi
40,21,Male,Physics,3,Tamil Nadu
41,22,Male,Electrical Engineering,2,Uttar Pradesh
42,20,Male,Economics,1,Delhi
43,21,Female,Chemistry,1,Tamil Nadu
44,19,Female,Environmental Science,2,Gujarat
45,20,Male,Environmental Science,4,Rajasthan
46,25,Female,Civil Engineering,4,Kerala
47,20,Female,Computer Science,1,Maharashtra
48,22,Male,Computer Science,1,Tamil Nadu
49,22,Male,Environmental Science,3,Uttar Pradesh
50,21,Female,Environmental Science,3,West Bengal
51,18,Female,Chemistry,3,Tamil Nadu
52,19,Male,Physics,3,Delhi
53,19,Male,Environmental Science,3,Gujarat
54,20,Male,Chemistry,3,West Bengal
55,23,Female,Electrical Engineering,1,Kerala
56,19,Male,Computer Science,1,Tamil Nadu
57,25,Male,Biology,3,Uttar Pradesh
58,20,Male,Mathematics,2,Gujarat
59,24,Male,Computer Science,3,Delhi
60,25,Female,Civil Engineering,1,Tamil Nadu
61,22,Male,Environmental Science,1,Karnataka
62,22,Female,Computer Science,2,West Bengal
63,18,Male,Chemistry,4,Delhi
64,18,Male,Mathematics,4,Karnataka
65,20,Female,Electrical Engineering,3,Uttar Pradesh
66,21,Female,Economics,4,West Bengal
67,24,Male,Chemistry,2,West Bengal
68,19,Male,Environmental Science,4,Gujarat
69,24,Female,Computer Science,4,Tamil Nadu
70,23,Male,Environmental Science,2,Gujarat
71,25,Male,Civil Engineering,4,Kerala
72,19,Male,Mathematics,2,West Bengal
73,20,Female,Mechanical Engineering,3,Maharashtra
74,20,Female,Mathematics,4,West Bengal
75,25,Female,Environmental Science,3,Uttar Pradesh
76,23,Male,Chemistry,3,Karnataka
77,19,Male,Economics,3,West Bengal
78,18,Male,Physics,3,Tamil Nadu
79,25,Male,Mechanical Engineering,3,West Bengal
80,24,Female,Mathematics,1,Madhya Pradesh
81,20,Female,Physics,2,Kerala
82,24,Male,Mechanical Engineering,2,Gujarat
83,22,Male,Biology,3,Delhi
84,22,Female,Chemistry,2,Uttar Pradesh
85,21,Female,Chemistry,4,Gujarat
86,19,Female,Computer Science,4,West Bengal
87,21,Female,Physics,4,Karnataka
88,21,Female,Chemistry,2,Maharashtra
89,23,Female,Civil Engineering,1,Karnataka
90,18,Female,Chemistry,4,Gujarat
91,20,Male,Biology,2,West Bengal
92,19,Female,Electrical Engineering,4,Rajasthan
93,23,Male,Biology,1,Madhya Pradesh
94,21,Male,Physics,4,Maharashtra
95,22,Male,Chemistry,3,Tamil Nadu
96,20,Male,Mathematics,4,Tamil Nadu
97,25,Male,Civil Engineering,2,Karnataka
98,21,Male,Mechanical Engineering,2,Karnataka
99,18,Male,Civil Engineering,1,Karnataka
100,25,Male,Chemistry,2,West Bengal
101,18,Male,Physics,1,Kerala
102,21,Male,Biology,1,Rajasthan
103,19,Male,Chemistry,4,West Bengal
104,24,Male,Economics,3,Maharashtra
105,20,Male,Economics,2,Uttar Pradesh
106,20,Female,Mathematics,3,Delhi
107,23,Male,Environmental Science,1,Tamil Nadu
108,21,Female,Civil Engineering,1,Maharashtra
109,25,Male,Environmental Science,1,Madhya Pradesh
110,24,Male,Biology,4,Rajasthan
111,21,Female,Physics,1,Gujarat
112,18,Female,Electrical Engineering,3,Gujarat
113,24,Male,Economics,3,Uttar Pradesh
114,19,Male,Physics,3,Gujarat
115,19,Female,Civil Engineering,2,Gujarat
116,20,Male,Mathematics,2,Karnataka
117,19,Female,Economics,1,Kerala
118,24,Female,Computer Science,3,Tamil Nadu
119,24,Male,Electrical Engineering,4,Karnataka
120,23,Male,Mechanical Engineering,3,West Bengal
121,21,Male,Biology,1,Karnataka
122,21,Female,Biology,4,West Bengal
123,23,Male,Chemistry,4,Gujarat
124,20,Male,Biology,1,Delhi
125,22,Female,Mechanical Engineering,1,West Bengal
126,20,Male,Chemistry,3,Delhi
127,25,Male,Chemistry,3,Karnataka
128,19,Male,Economics,4,Delhi
129,25,Female,Economics,2,Madhya Pradesh
130,23,Female,Biology,3,Tamil Nadu
